
Summary,CLEWSity
Emissions
,CH4,9.98625
,CO2,-1712.89
,CO2EQ,-1429.04
,N2O,0.00992359

Cost,129619

TID Demand

,CLEWSity
Fuel,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
WND,WN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WOO,SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WOO,SN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WOO,WD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WOO,WN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Time Dependent Production (Energy Units) Test

,CLEWSity
Fuel,Timeslice,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
BAG,SD,5.21445,5.9136,6.59186,0,3.91222,2.56614,5.79998,0.941893,1.75743,3.5816,0.880025,0,0.384549,0,2.46547,0,0,0,0,0,0,0,0,0,0,2.11418,5.42659,0,7.54077,0,9.41354,12.8027,11.7738,15.2611,12.0243,14.8709
BAG,SN,5.26815,4.09705,0,5.38358,0,0,0,1.19302,2.01807,0,0,0,0,0.955743,0,0,0,0,0,0,0,0,0,0,0,0,0,6.48368,0,9.12462,0,12.8027,11.7738,13.2441,10.8844,14.8716
BAG,WD,8.43931,11.818,15.1967,18.5754,21.9541,25.3328,25.3328,28.7114,28.7114,29.5825,32.9611,34.6868,34.7226,34.7584,34.7584,38.0695,38.9152,39.7609,40.6094,41.4551,42.3007,43.3578,44.4149,45.472,45.472,45.472,43.2196,43.2196,43.2196,42.6928,34.3537,15.7892,20.1987,13.0738,19.3093,14.8716
BAG,WN,0,5.92139,6.63575,5.14244,3.91222,2.55673,0,0.963482,0,0,0,0,0.425349,0.664053,0,0,0,0,0,0,0,0,0,0,1.05709,0,0,0,0,0,9.10724,12.8027,11.7738,15.2611,15.9449,14.8716
